x_mm,y_mm,z_mm,LET_keV_per_um,Dose_GyRBE
-10.740400,-82.529000,-231.050000,1.191856,0.511055
-10.440400,-82.529000,-231.050000,1.201770,0.512204
-10.140400,-82.529000,-231.050000,1.178619,0.510890
-9.840400,-82.529000,-231.050000,1.192181,0.513772
-9.540400,-82.529000,-231.050000,1.195962,0.517799
-9.240400,-82.529000,-231.050000,1.225843,0.515323
-8.940400,-82.529000,-231.050000,1.178234,0.512534
-8.640400,-82.529000,-231.050000,1.247533,0.520614
-8.340400,-82.529000,-231.050000,1.197891,0.513428
-8.040400,-82.529000,-231.050000,1.192065,0.512201
-7.740400,-82.529000,-231.050000,1.187389,0.511387
-7.440400,-82.529000,-231.050000,1.164233,0.516201
-7.140400,-82.529000,-231.050000,1.164404,0.516954
-6.840400,-82.529000,-231.050000,1.178672,0.514882
-6.540400,-82.529000,-231.050000,1.210910,0.510056
-6.240400,-82.529000,-231.050000,1.227483,0.520950
-5.940400,-82.529000,-231.050000,1.246684,0.519406
-5.640400,-82.529000,-231.050000,1.197718,0.515018
-5.340400,-82.529000,-231.050000,1.171223,0.514470
-5.040400,-82.529000,-231.050000,1.173579,0.515354
-4.740400,-82.529000,-231.050000,1.154372,0.517156
-4.440400,-82.529000,-231.050000,1.202034,0.511553
-4.140400,-82.529000,-231.050000,1.199255,0.518135
-3.840400,-82.529000,-231.050000,1.194267,0.514236
-3.540400,-82.529000,-231.050000,1.218598,0.517573
-3.240400,-82.529000,-231.050000,1.187157,0.515664
-2.940400,-82.529000,-231.050000,1.191018,0.511703
-2.640400,-82.529000,-231.050000,1.198056,0.509741
-2.340400,-82.529000,-231.050000,1.206646,0.517366
-2.040400,-82.529000,-231.050000,1.207444,0.512072
-1.740400,-82.529000,-231.050000,1.220179,0.520106
-1.440400,-82.529000,-231.050000,1.171453,0.513862
-1.140400,-82.529000,-231.050000,1.186964,0.513113
-0.840400,-82.529000,-231.050000,1.182219,0.514242
-0.540400,-82.529000,-231.050000,1.161406,0.511862
-0.240400,-82.529000,-231.050000,1.150447,0.515773
0.059600,-82.529000,-231.050000,1.179395,0.516479
0.359600,-82.529000,-231.050000,1.193992,0.516582
0.659600,-82.529000,-231.050000,1.204522,0.514698
0.959600,-82.529000,-231.050000,1.187652,0.515874
1.259600,-82.529000,-231.050000,1.168965,0.513314
1.559600,-82.529000,-231.050000,1.166111,0.516324
1.859600,-82.529000,-231.050000,1.179393,0.510401
2.159600,-82.529000,-231.050000,1.217983,0.511485
2.459600,-82.529000,-231.050000,1.220019,0.514970
2.759600,-82.529000,-231.050000,1.154853,0.511132
3.059600,-82.529000,-231.050000,1.199192,0.512528
3.359600,-82.529000,-231.050000,1.222640,0.511636
3.659600,-82.529000,-231.050000,1.148660,0.516791
3.959600,-82.529000,-231.050000,1.177831,0.515314
-11.640400,-82.229000,-231.050000,1.173649,0.506161
-11.340400,-82.229000,-231.050000,1.207933,0.510359
-11.040400,-82.229000,-231.050000,1.239804,0.504250
-10.740400,-82.229000,-231.050000,1.236345,0.508535
-10.440400,-82.229000,-231.050000,1.140319,0.507543
-10.140400,-82.229000,-231.050000,1.200113,0.510126
-9.840400,-82.229000,-231.050000,1.172600,0.510890
-9.540400,-82.229000,-231.050000,1.224024,0.514519
-9.240400,-82.229000,-231.050000,1.173850,0.516263
-8.940400,-82.229000,-231.050000,1.166582,0.513413
-8.640400,-82.229000,-231.050000,1.149756,0.517609
-8.340400,-82.229000,-231.050000,1.179583,0.510125
-8.040400,-82.229000,-231.050000,1.198171,0.509871
-7.740400,-82.229000,-231.050000,1.190227,0.508460
-7.440400,-82.229000,-231.050000,1.204105,0.515302
-7.140400,-82.229000,-231.050000,1.184510,0.511495
-6.840400,-82.229000,-231.050000,1.184964,0.514019
-6.540400,-82.229000,-231.050000,1.191079,0.509036
-6.240400,-82.229000,-231.050000,1.209590,0.519742
-5.940400,-82.229000,-231.050000,1.167471,0.514577
-5.640400,-82.229000,-231.050000,1.277546,0.513048
-5.340400,-82.229000,-231.050000,1.202696,0.511253
-5.040400,-82.229000,-231.050000,1.152016,0.511728
-4.740400,-82.229000,-231.050000,1.203035,0.514645
-4.440400,-82.229000,-231.050000,1.167911,0.507991
-4.140400,-82.229000,-231.050000,1.141262,0.517915
-3.840400,-82.229000,-231.050000,1.220293,0.512623
-3.540400,-82.229000,-231.050000,1.245483,0.514905
-3.240400,-82.229000,-231.050000,1.204485,0.511173
-2.940400,-82.229000,-231.050000,1.213809,0.512722
-2.640400,-82.229000,-231.050000,1.237275,0.506178
-2.340400,-82.229000,-231.050000,1.188025,0.514672
-2.040400,-82.229000,-231.050000,1.161966,0.509771
-1.740400,-82.229000,-231.050000,1.153161,0.516456
-1.440400,-82.229000,-231.050000,1.215803,0.513297
-1.140400,-82.229000,-231.050000,1.192171,0.510077
-0.840400,-82.229000,-231.050000,1.196388,0.514953
-0.540400,-82.229000,-231.050000,1.186318,0.511615
-0.240400,-82.229000,-231.050000,1.189123,0.513791
0.059600,-82.229000,-231.050000,1.168824,0.513276
0.359600,-82.229000,-231.050000,1.189099,0.512439
0.659600,-82.229000,-231.050000,1.197300,0.510932
0.959600,-82.229000,-231.050000,1.169312,0.513253
1.259600,-82.229000,-231.050000,1.203987,0.508543
1.559600,-82.229000,-231.050000,1.154814,0.513605
1.859600,-82.229000,-231.050000,1.133868,0.506883
2.159600,-82.229000,-231.050000,1.173472,0.508817
2.459600,-82.229000,-231.050000,1.171402,0.510294
2.759600,-82.229000,-231.050000,1.161972,0.506289
3.059600,-82.229000,-231.050000,1.195325,0.510998
3.359600,-82.229000,-231.050000,1.190723,0.509512
3.659600,-82.229000,-231.050000,1.159450,0.514438
3.959600,-82.229000,-231.050000,1.186939,0.512892
4.259600,-82.229000,-231.050000,1.183743,0.512866
-11.640400,-82.529000,-230.750000,1.163657,0.508115
-11.340400,-82.529000,-230.750000,1.195425,0.509706
-11.040400,-82.529000,-230.750000,1.144618,0.507721
-10.740400,-82.529000,-230.750000,1.235265,0.517109
-10.440400,-82.529000,-230.750000,1.225978,0.508529
-10.140400,-82.529000,-230.750000,1.187537,0.506095
-9.840400,-82.529000,-230.750000,1.174357,0.510985
-9.540400,-82.529000,-230.750000,1.192879,0.508326
-9.240400,-82.529000,-230.750000,1.204188,0.513255
-8.940400,-82.529000,-230.750000,1.161987,0.509562
-8.640400,-82.529000,-230.750000,1.176117,0.516917
-8.340400,-82.529000,-230.750000,1.200450,0.515105
-8.040400,-82.529000,-230.750000,1.179632,0.514546
-7.740400,-82.529000,-230.750000,1.183224,0.507074
-7.440400,-82.529000,-230.750000,1.171935,0.511827
-7.140400,-82.529000,-230.750000,1.222157,0.514162
-6.840400,-82.529000,-230.750000,1.185184,0.515536
-6.540400,-82.529000,-230.750000,1.218560,0.518246
-6.240400,-82.529000,-230.750000,1.198727,0.519337
-5.940400,-82.529000,-230.750000,1.171761,0.508299
-5.640400,-82.529000,-230.750000,1.214866,0.513908
-5.340400,-82.529000,-230.750000,1.247674,0.516520
-5.040400,-82.529000,-230.750000,1.188497,0.515387
-4.740400,-82.529000,-230.750000,1.227093,0.515667
-4.440400,-82.529000,-230.750000,1.218968,0.516693
-4.140400,-82.529000,-230.750000,1.217877,0.519967
-3.840400,-82.529000,-230.750000,1.166584,0.515406
-3.540400,-82.529000,-230.750000,1.207168,0.511202
-3.240400,-82.529000,-230.750000,1.204002,0.515434
-2.940400,-82.529000,-230.750000,1.141212,0.514003
-2.640400,-82.529000,-230.750000,1.158841,0.511738
-2.340400,-82.529000,-230.750000,1.203795,0.514638
-2.040400,-82.529000,-230.750000,1.208315,0.520372
-1.740400,-82.529000,-230.750000,1.209023,0.516054
-1.440400,-82.529000,-230.750000,1.237827,0.515977
-1.140400,-82.529000,-230.750000,1.160404,0.511742
-0.840400,-82.529000,-230.750000,1.203329,0.512161
-0.540400,-82.529000,-230.750000,1.208602,0.510210
-0.240400,-82.529000,-230.750000,1.131776,0.509605
0.059600,-82.529000,-230.750000,1.163984,0.511575
0.359600,-82.529000,-230.750000,1.226267,0.514440
0.659600,-82.529000,-230.750000,1.173394,0.513779
0.959600,-82.529000,-230.750000,1.207282,0.513619
1.259600,-82.529000,-230.750000,1.148909,0.508064
1.559600,-82.529000,-230.750000,1.172117,0.508767
1.859600,-82.529000,-230.750000,1.176313,0.514172
2.159600,-82.529000,-230.750000,1.168494,0.511493
2.459600,-82.529000,-230.750000,1.163591,0.511868
2.759600,-82.529000,-230.750000,1.222965,0.516214
3.059600,-82.529000,-230.750000,1.175138,0.514092
3.359600,-82.529000,-230.750000,1.234311,0.515428
3.659600,-82.529000,-230.750000,1.197369,0.514282
3.959600,-82.529000,-230.750000,1.205759,0.516995
4.259600,-82.529000,-230.750000,1.175479,0.511219
-11.640400,-82.229000,-230.750000,1.196473,0.509916
-11.340400,-82.229000,-230.750000,1.201339,0.509656
-11.040400,-82.229000,-230.750000,1.171047,0.506135
-10.740400,-82.229000,-230.750000,1.189990,0.514030
-10.440400,-82.229000,-230.750000,1.184010,0.506307
-10.140400,-82.229000,-230.750000,1.210459,0.504676
-9.840400,-82.229000,-230.750000,1.184257,0.512513
-9.540400,-82.229000,-230.750000,1.184449,0.506616
-9.240400,-82.229000,-230.750000,1.151582,0.510982
-8.940400,-82.229000,-230.750000,1.160383,0.509045
-8.640400,-82.229000,-230.750000,1.186131,0.514564
-8.340400,-82.229000,-230.750000,1.187040,0.512884
-8.040400,-82.229000,-230.750000,1.199164,0.511485
-7.740400,-82.229000,-230.750000,1.172548,0.503247
-7.440400,-82.229000,-230.750000,1.160226,0.509502
-7.140400,-82.229000,-230.750000,1.163061,0.513895
-6.840400,-82.229000,-230.750000,1.209047,0.513666
-6.540400,-82.229000,-230.750000,1.209185,0.515482
-6.240400,-82.229000,-230.750000,1.146386,0.517058
-5.940400,-82.229000,-230.750000,1.209185,0.506850
-5.640400,-82.229000,-230.750000,1.226926,0.511758
-5.340400,-82.229000,-230.750000,1.175278,0.514951
-5.040400,-82.229000,-230.750000,1.146835,0.511153
-4.740400,-82.229000,-230.750000,1.252299,0.515702
-4.440400,-82.229000,-230.750000,1.243207,0.512920
-4.140400,-82.229000,-230.750000,1.250133,0.520895
-3.840400,-82.229000,-230.750000,1.193235,0.515701
-3.540400,-82.229000,-230.750000,1.166475,0.512178
-3.240400,-82.229000,-230.750000,1.224000,0.515343
-2.940400,-82.229000,-230.750000,1.239522,0.511675
-2.640400,-82.229000,-230.750000,1.170089,0.509228
-2.340400,-82.229000,-230.750000,1.179717,0.512260
-2.040400,-82.229000,-230.750000,1.194831,0.519429
-1.740400,-82.229000,-230.750000,1.169878,0.513195
-1.440400,-82.229000,-230.750000,1.207944,0.512319
-1.140400,-82.229000,-230.750000,1.224146,0.512706
-0.840400,-82.229000,-230.750000,1.190786,0.507595
-0.540400,-82.229000,-230.750000,1.197811,0.510074
-0.240400,-82.229000,-230.750000,1.159121,0.508348
0.059600,-82.229000,-230.750000,1.190221,0.513051
0.359600,-82.229000,-230.750000,1.165010,0.510132
0.659600,-82.229000,-230.750000,1.147476,0.511401
0.959600,-82.229000,-230.750000,1.178141,0.512828
1.259600,-82.229000,-230.750000,1.171585,0.508898
1.559600,-82.229000,-230.750000,1.151044,0.505942
1.859600,-82.229000,-230.750000,1.170984,0.512997
2.159600,-82.229000,-230.750000,1.197636,0.510148
2.459600,-82.229000,-230.750000,1.180117,0.511482
2.759600,-82.229000,-230.750000,1.184978,0.512110
3.059600,-82.229000,-230.750000,1.181443,0.510498
